Drill Listing
=============
Drill: .00984  Tool: 1  Feed: 0  Speed: 0
X 171456  Y 37007
X 172834  Y 45669
X 164862  Y 52559
X 167224  Y 58858
X 176574  Y 72244
X 170472  Y 73523
X 161712  Y 90551
X 155314  Y 97342
X 165748  Y 98326
X 169488  Y 98326
X 172834  Y 98326
X 155511  Y 102755
X 177165  Y 103543
X 159842  Y 103543
X 159842  Y 106988
X 177165  Y 106988
X 177165  Y 110137
X 159842  Y 110137
X 155511  Y 113287
X 159842  Y 113681
X 177165  Y 113681
X 155511  Y 118602
X 166043  Y 122440
X 170964  Y 122440
X 162303  Y 122440
X 174704  Y 122440
X 155511  Y 123917
X 155511  Y 127952
X 177165  Y 131397
X 159842  Y 131397
X 155511  Y 131692
X 177165  Y 134842
X 159842  Y 134842
X 177165  Y 137992
X 159842  Y 137992
X 177165  Y 141535
X 159842  Y 141535
X 166043  Y 150196
X 162303  Y 150196
X 170964  Y 150196
X 174704  Y 150196
X 156692  Y 151673
X 175196  Y 155905
X 159251  Y 161811
X 164370  Y 162007
X 169488  Y 162007
X 166929  Y 165157
X 172047  Y 165157
X 168503  Y 169488
X 177165  Y 170472
X 161811  Y 174409
X 156692  Y 174409
X 177165  Y 184055
X 159251  Y 184842
X 164370  Y 184842
X 155905  Y 204330
X 155905  Y 210236
X 155118  Y 225984
X 163385  Y 305118
X 173228  Y 314960
X 163582  Y 327755
X 183267  Y 327755
X 202952  Y 327755
X 188976  Y 305118
X 195669  Y 205511
X 201181  Y 205511
X 195669  Y 194094
X 192913  Y 191338
X 187401  Y 191338
X 198425  Y 191338
X 203937  Y 191338
X 203937  Y 179921
X 187401  Y 179921
X 184055  Y 170472
X 180314  Y 151181
X 184055  Y 151181
X 185629  Y 132283
X 179527  Y 87500
X 184448  Y 85039
X 184350  Y 68110
X 181102  Y 59055
X 192913  Y 59055
X 199015  Y 57874
X 194488  Y 51968
X 191732  Y 38976
X 199015  Y 35433
X 191732  Y 35433
X 195866  Y 27559
X 203346  Y 22047
X 194881  Y 19881
X 191338  Y 18700
X 187598  Y 18700
X 183661  Y 18700
X 207283  Y 18700
X 211220  Y 18700
X 225590  Y 21062
X 210137  Y 27559
X 209055  Y 51968
X 204527  Y 57874
X 220472  Y 173228
X 213385  Y 174803
X 229330  Y 178641
X 213385  Y 178740
X 209448  Y 179921
X 229330  Y 182086
X 229330  Y 185531
X 220472  Y 191338
X 214960  Y 191338
X 209448  Y 191338
X 217716  Y 194094
X 206692  Y 194094
X 212204  Y 194094
X 206692  Y 205511
X 212204  Y 205511
X 217716  Y 205511
X 227362  Y 210629
X 211614  Y 214566
X 215551  Y 214566
X 223425  Y 214566
X 219488  Y 214566
X 227362  Y 214566
X 207677  Y 232283
X 209645  Y 239173
X 222440  Y 239173
X 225885  Y 243110
X 222440  Y 243110
X 209645  Y 243110
X 209645  Y 250000
X 209645  Y 253937
X 213582  Y 257874
X 217519  Y 257874
X 209645  Y 257874
X 209448  Y 287992
X 222637  Y 327755
X 242322  Y 327755
X 232381  Y 287992
X 236220  Y 256889
X 252952  Y 253937
X 252952  Y 249015
X 240157  Y 243110
X 236712  Y 243110
X 252952  Y 243110
X 240157  Y 239173
X 252952  Y 239173
X 246555  Y 214566
X 254035  Y 198425
X 244192  Y 198425
X 250787  Y 198425
X 247440  Y 198425
X 232677  Y 187500
X 237598  Y 174803
X 237598  Y 171653
X 244685  Y 18700
X 232874  Y 18700
X 272244  Y 18700
X 264370  Y 18700
X 254527  Y 18700
X 272047  Y 31889
X 267716  Y 179133
X 259055  Y 187500
X 259055  Y 190944
